OBS,Y,PC,PB,YD,TEMP,PRP
1,39.7,42.3,143.8,50.1,-16,107.8
2,38.69,49.4,152.2,54.98,-4,134.6
3,42.02,45.5,145.7,59.72,-24,134
4,42.71,45.3,145.9,65.17,16,125.4
5,44.75,49.3,178.8,72.24,5,143.6
6,48.35,50,222.4,79.67,13,152.5
7,48.47,53.5,233.6,88.22,21,147.5
8,50.37,53.8,234.7,97.65,49,161.2
9,51.52,51.5,238.4,104.26,4,185.6
10,52.55,56,234.1,111.31,35,179.7
11,54.61,61.5,235.5,123.19,11,171.4
12,56.42,56.2,228.6,130.37,4,170.8
13,57.7,63.1,226.8,136.49,18,188.8
14,61.94,53.1,238.4,142.41,35,199.4
15,63.8,62.1,250.3,152.97,46,194
16,66.88,64.2,265.7,162.57,32,193.5
17,70.34,60.5,281,171.31,64,224.9
18,73.26,57.7,288.3,176.09,52,224.2
19,76.39,59,284.6,184.94,18,209.5
20,78.27,27.1,293.4,188.72,27,209.1
21,79.65,26.2,282.9,195.55,48,209.5
22,79.27,26.9,284.3,202.87,71,206.1
23,80.61,28,280.2,210.91,36,233.7
24,83.1,33.2,279.5,219.4,60,245
25,83.76,33.4,277.1,231.61,89,242.7
26,88.98,39.5,287.8,239.68,60,241.4
27,90.08,43,306.4,254.69,62,258.2
28,89.71,43.4,337.7,262.24,74,269.4
29,94.37,43.9,331.5,271.45,85,265.8
